Car_ID,Brand,Model_Name,Category,Engine_CC,Max_Power_bhp,Max_Torque_Nm,Top_Speed_kmph,Mileage_kmpl,Seats,Price_INR_Lakh,Country_Origin,Fuel_Type,Transmission,Launch_Year,ABS,Popular_in_India,Description
C0001,Jaguar,X 700,Hatchback,1000,72.8,97.0,178,15.3,4,20.23,Germany,Petrol,Automatic,2019,No,No,Compact city-friendly hatchback
C0002,MG,Neo 500,Convertible,2000,132.9,205.8,213,10.7,7,51.74,India,Petrol,Automatic,2013,Yes,Yes,Convertible for open-air drive
C0003,Mahindra,Z 700,Electric,0,256.7,448.8,199,,4,54.0,India,Electric,CVT,2007,Yes,Yes,Electric car with zero emissions
C0004,Mercedes,S 550,Electric,0,357.3,314.0,178,,5,201.83,Germany,Electric,Manual,2016,Yes,No,Electric car with zero emissions
C0005,MG,Turbo 300,SUV,2200,256.9,398.1,241,12.8,4,56.45,India,Petrol,Manual,2006,No,Yes,Spacious SUV for all terrains
C0006,Tata,Turbo 550,Sedan,1600,100.6,140.0,196,19.3,4,27.03,India,Hybrid,Manual,2022,No,Yes,Comfortable family sedan
C0007,Ford,Neo 500,Sedan,1500,115.5,123.6,143,18.9,7,36.25,Japan,Hybrid,Automatic,2007,No,Yes,Comfortable family sedan
C0008,BMW,X 650,Electric,0,83.7,416.2,188,,2,91.39,Sweden,Electric,Automatic,2014,No,Yes,Electric car with zero emissions
C0009,BMW,GT 500,Electric,0,242.5,231.9,200,,7,104.8,Sweden,Electric,CVT,2011,Yes,Yes,Electric car with zero emissions
C0010,Porsche,S 700,Electric,0,236.4,233.6,166,,7,67.46,Sweden,Electric,Manual,2007,Yes,No,Electric car with zero emissions
C0011,Jaguar,E 450,MUV,3000,342.0,249.7,207,14.1,4,131.2,Germany,Petrol,CVT,2014,No,No,Multi-purpose vehicle for family
C0012,Porsche,Z 300,SUV,1500,106.9,143.5,189,16.7,2,24.97,Sweden,Petrol,Manual,2006,No,Yes,Spacious SUV for all terrains
C0013,Volkswagen,X 600,Sedan,2000,154.6,174.6,170,16.5,6,31.79,USA,Petrol,Automatic,2018,No,No,Comfortable family sedan
C0014,Mahindra,X 600,Hatchback,1000,77.5,95.7,168,16.4,2,10.23,India,Diesel,Manual,2019,Yes,Yes,Compact city-friendly hatchback
C0015,Jaguar,Neo 200,MUV,2000,130.0,189.1,167,16.9,5,27.98,Germany,Hybrid,Automatic,2019,No,No,Multi-purpose vehicle for family
C0016,Honda (India),GT 150,Sedan,2000,164.1,163.7,160,10.5,4,35.05,India,Hybrid,CVT,2006,Yes,Yes,Comfortable family sedan
C0017,Tata,Alpha 250,Convertible,1400,137.1,142.8,274,16.8,7,112.72,India,Petrol,CVT,2023,No,Yes,Convertible for open-air drive
C0018,Audi,GT 350,Sedan,1600,112.9,157.2,199,12.6,2,53.74,Germany,Petrol,Manual,2022,Yes,No,Comfortable family sedan
C0019,Tata,S 200,Electric,0,130.5,450.1,158,,7,86.0,India,Electric,CVT,2005,No,Yes,Electric car with zero emissions
C0020,BMW,Turbo 300,Hatchback,1500,97.8,131.3,153,17.7,6,25.61,Sweden,Petrol,CVT,2013,Yes,Yes,Compact city-friendly hatchback
C0021,Hyundai,E 550,Hatchback,1300,98.1,137.7,185,15.4,4,8.76,India,Diesel,CVT,2022,Yes,Yes,Compact city-friendly hatchback
C0022,Jaguar,GT 250,Hatchback,1300,108.2,157.3,195,12.3,5,14.95,Germany,Petrol,Manual,2022,No,No,Compact city-friendly hatchback
C0023,MG,S 400,Electric,0,362.1,207.4,162,,4,60.0,India,Electric,CVT,2013,Yes,Yes,Electric car with zero emissions
C0024,Hyundai,E 300,Electric,0,341.3,338.1,159,,2,37.0,India,Electric,Manual,2011,No,Yes,Electric car with zero emissions
C0025,Tata,Alpha 100,Electric,0,285.3,319.9,188,,2,50.0,India,Electric,Manual,2013,Yes,Yes,Electric car with zero emissions
C0026,Mahindra,E 400,SUV,2000,146.2,219.1,174,13.1,6,44.08,India,Petrol,CVT,2005,Yes,Yes,Spacious SUV for all terrains
C0027,Tata,Z 400,Electric,3717,462.0,444.0,196,9.0,5,112.58,India,Diesel,Automatic,2022,Yes,Yes,Electric car with zero emissions
C0028,Ford,Neo 700,Convertible,3000,260.9,370.1,238,10.0,6,207.57,Japan,Hybrid,Automatic,2019,No,No,Convertible for open-air drive
C0029,MG,Neo 550,Convertible,3000,214.0,391.4,230,12.7,2,83.36,India,Petrol,Manual,2006,Yes,Yes,Convertible for open-air drive
C0030,Tata,S 700,SUV,0,264.2,415.5,169,,4,75.0,India,Electric,Automatic,2009,Yes,Yes,Spacious SUV for all terrains
C0031,Nissan,E 700,Sedan,0,302.7,339.4,191,,6,35.77,USA,Electric,Manual,2009,No,No,Comfortable family sedan
C0032,Volvo,Alpha 450,Coupe,3000,324.6,318.6,220,13.2,5,171.1,USA,Diesel,CVT,2021,No,No,Sporty coupe with style
C0033,Tata,Turbo 350,MUV,2500,248.0,317.2,157,9.1,4,57.88,India,Petrol,CVT,2007,No,Yes,Multi-purpose vehicle for family
C0034,Jaguar,Alpha 400,SUV,2200,258.4,358.6,249,8.1,6,127.06,Germany,Petrol,Automatic,2018,Yes,No,Spacious SUV for all terrains
C0035,Volkswagen,GT 450,Hatchback,1400,126.2,153.6,198,13.0,7,29.59,USA,Petrol,CVT,2005,Yes,No,Compact city-friendly hatchback
C0036,MG,E 250,Hatchback,1200,83.6,100.1,196,18.8,6,12.82,India,Petrol,Manual,2005,Yes,Yes,Compact city-friendly hatchback
C0037,Tata,Neo 650,MUV,1500,137.5,128.0,142,17.0,2,34.51,India,Diesel,CVT,2023,Yes,Yes,Multi-purpose vehicle for family
C0038,BMW,Z 150,MUV,1500,128.9,126.6,179,12.9,6,48.32,Sweden,Petrol,Automatic,2011,Yes,No,Multi-purpose vehicle for family
C0039,Mercedes,Turbo 450,Electric,0,118.7,495.2,125,,5,95.98,Germany,Electric,CVT,2007,No,Yes,Electric car with zero emissions
C0040,Mahindra,Alpha 350,SUV,2200,306.1,298.4,226,14.8,6,61.24,India,Petrol,CVT,2019,No,Yes,Spacious SUV for all terrains
C0041,Toyota (India),E 700,MUV,3000,236.6,303.6,218,12.7,4,42.69,India,Petrol,Automatic,2020,Yes,Yes,Multi-purpose vehicle for family
C0042,BMW,Z 650,Sedan,0,304.4,282.9,121,,4,58.25,Sweden,Electric,Manual,2018,No,No,Comfortable family sedan
C0043,Volkswagen,Neo 300,Coupe,1400,94.7,128.9,288,13.9,5,216.75,USA,Petrol,CVT,2018,No,Yes,Sporty coupe with style
C0044,Mercedes,Z 300,Sedan,1500,105.8,149.7,200,18.1,7,29.65,Germany,Petrol,Automatic,2021,No,No,Comfortable family sedan
C0045,Toyota (India),Neo 450,Sedan,2000,127.6,162.7,143,14.4,2,26.21,India,Petrol,Automatic,2005,No,Yes,Comfortable family sedan
C0046,Volvo,Z 150,Sedan,1600,137.1,139.1,192,12.5,4,38.94,USA,Hybrid,Manual,2009,No,Yes,Comfortable family sedan
C0047,Jaguar,Z 600,MUV,2000,166.5,182.8,196,12.4,2,138.16,Germany,Diesel,CVT,2024,Yes,No,Multi-purpose vehicle for family
C0048,Honda (India),S 600,Sedan,1500,98.7,123.0,140,15.3,5,29.5,India,Petrol,Manual,2014,No,Yes,Comfortable family sedan
C0049,Toyota (India),Alpha 200,Electric,0,280.0,398.4,145,,7,62.0,India,Electric,Manual,2012,Yes,Yes,Electric car with zero emissions
C0050,Tata,Neo 150,Hatchback,1500,127.4,142.8,158,15.5,6,19.26,India,Diesel,CVT,2013,No,Yes,Compact city-friendly hatchback
C0051,Hyundai,X 700,Electric,0,273.2,207.8,149,,7,94.0,India,Electric,CVT,2005,No,Yes,Electric car with zero emissions
C0052,MG,GT 350,SUV,2000,130.9,195.1,241,16.5,5,34.52,India,Diesel,Automatic,2015,Yes,Yes,Spacious SUV for all terrains
C0053,Nissan,Z 500,Convertible,4000,453.4,410.0,258,6.5,7,135.31,USA,Petrol,Automatic,2005,No,No,Convertible for open-air drive
C0054,Toyota,Alpha 500,Coupe,3000,314.0,256.6,270,8.9,2,127.27,Sweden,Petrol,Manual,2025,Yes,No,Sporty coupe with style
C0055,Maruti,Z 450,SUV,1500,113.1,124.7,179,16.0,6,58.11,India,Petrol,Automatic,2020,No,Yes,Spacious SUV for all terrains
C0056,Jaguar,Neo 557,Hatchback,1500,115.4,155.2,195,12.6,2,25.06,Germany,Petrol,Automatic,2014,No,No,Compact city-friendly hatchback
C0057,Jaguar,Turbo 400,SUV,2500,256.6,387.9,184,14.9,2,89.49,Germany,Petrol,Automatic,2015,No,No,Spacious SUV for all terrains
C0058,Kia,GT 150,SUV,2500,344.8,279.8,172,14.1,2,74.99,India,Petrol,Automatic,2009,No,Yes,Spacious SUV for all terrains
C0059,Volkswagen,Alpha 250,MUV,3000,297.5,373.3,208,10.7,7,96.51,USA,Petrol,Automatic,2006,Yes,Yes,Multi-purpose vehicle for family
C0060,Tata,Turbo 200,SUV,3000,305.6,238.1,181,12.9,5,22.1,India,Petrol,Manual,2016,No,Yes,Spacious SUV for all terrains
C0061,Toyota (India),Alpha 450,SUV,1800,130.2,164.7,208,15.0,4,52.77,India,Diesel,CVT,2012,No,Yes,Spacious SUV for all terrains
C0062,BMW,Neo 300,Convertible,0,228.9,286.3,189,,7,60.17,Sweden,Electric,Automatic,2014,No,No,Convertible for open-air drive
C0063,Honda (India),Alpha 100,Electric,0,114.1,314.4,165,,5,81.0,India,Electric,Automatic,2005,No,Yes,Electric car with zero emissions
C0064,Hyundai,Alpha 600,Electric,0,346.5,470.9,149,,4,85.0,India,Electric,Automatic,2025,Yes,Yes,Electric car with zero emissions
C0065,Kia,Z 200,Coupe,1400,105.4,137.6,274,14.9,5,44.81,India,Hybrid,Automatic,2018,Yes,Yes,Sporty coupe with style
C0066,Jaguar,S 200,Electric,0,240.6,281.8,141,,5,95.19,Germany,Electric,Automatic,2015,Yes,No,Electric car with zero emissions
C0067,Toyota (India),S 450,Electric,0,393.6,490.2,191,,6,54.0,India,Electric,Manual,2005,No,Yes,Electric car with zero emissions
C0068,Toyota,Neo 650,Convertible,4000,455.6,488.1,213,10.0,5,138.45,Sweden,Diesel,CVT,2024,Yes,No,Convertible for open-air drive
C0069,Mercedes,GT 400,Coupe,1400,137.3,132.2,263,12.9,5,133.14,Germany,Petrol,Automatic,2022,No,No,Sporty coupe with style
C0070,Mahindra,X 400,MUV,2500,204.9,286.7,196,11.1,5,52.11,India,Diesel,Manual,2022,No,Yes,Multi-purpose vehicle for family
C0071,BMW,Z 550,Hatchback,1400,94.6,128.5,180,16.8,7,12.39,Sweden,Petrol,Manual,2011,Yes,No,Compact city-friendly hatchback
C0072,Honda (India),X 200,MUV,2000,167.3,195.8,175,16.9,5,43.8,India,Petrol,CVT,2010,Yes,Yes,Multi-purpose vehicle for family
C0073,Maruti,E 500,Sedan,2000,139.4,170.5,143,11.0,2,33.42,India,Diesel,CVT,2020,No,Yes,Comfortable family sedan
C0074,Mahindra,Turbo 600,SUV,2500,206.5,361.0,244,11.7,2,87.87,India,Petrol,Manual,2020,No,Yes,Spacious SUV for all terrains
C0075,Mahindra,Alpha 450,SUV,1500,135.0,132.9,178,12.5,7,57.49,India,Hybrid,CVT,2015,No,Yes,Spacious SUV for all terrains
C0076,Porsche,S 350,Coupe,1400,132.6,146.0,298,16.4,5,101.26,Sweden,Petrol,Automatic,2019,No,No,Sporty coupe with style
C0077,Nissan,E 600,Sedan,1500,124.3,139.0,145,18.7,4,28.98,USA,Petrol,Automatic,2022,Yes,No,Comfortable family sedan
C0078,Mahindra,Z 200,SUV,0,381.2,326.9,126,,5,48.0,India,Electric,CVT,2016,Yes,Yes,Spacious SUV for all terrains
C0079,Volkswagen,Alpha 100,Sedan,2000,142.1,205.8,176,11.8,7,67.54,USA,Petrol,CVT,2025,Yes,No,Comfortable family sedan
C0080,MG,Turbo 400,Sedan,1600,107.6,127.3,149,16.5,2,24.09,India,Diesel,CVT,2007,Yes,Yes,Comfortable family sedan
C0081,Volvo,Neo 550,Sedan,1600,128.8,142.7,145,19.1,2,26.95,USA,Petrol,CVT,2013,No,No,Comfortable family sedan
C0082,Volvo,Alpha 250,SUV,2500,217.1,297.4,196,12.7,6,147.16,USA,Petrol,Manual,2024,Yes,Yes,Spacious SUV for all terrains
C0083,Kia,Turbo 650,MUV,1500,90.4,149.9,162,13.0,7,60.44,India,Petrol,CVT,2016,Yes,Yes,Multi-purpose vehicle for family
C0084,Hyundai,Neo 650,SUV,1500,133.1,143.0,233,15.2,2,71.47,India,Petrol,Automatic,2015,Yes,Yes,Spacious SUV for all terrains
C0085,Toyota,S 500,Hatchback,0,157.9,376.7,187,,5,8.27,Sweden,Electric,Automatic,2012,No,No,Compact city-friendly hatchback
C0086,Mahindra,S 200,SUV,2000,141.1,217.5,242,16.5,4,47.64,India,Petrol,Automatic,2010,Yes,Yes,Spacious SUV for all terrains
C0087,Volkswagen,Alpha 700,SUV,2500,267.3,386.3,232,12.5,6,139.97,USA,Diesel,Manual,2007,No,No,Spacious SUV for all terrains
C0088,BMW,X 450,SUV,1500,105.5,138.1,167,14.9,7,71.33,Sweden,Petrol,Manual,2024,No,No,Spacious SUV for all terrains
C0089,Honda (India),X 250,Sedan,1500,137.9,138.0,191,19.2,7,32.79,India,Petrol,Manual,2025,Yes,Yes,Comfortable family sedan
C0090,Volvo,S 500,Electric,0,275.1,309.2,156,,7,95.32,USA,Electric,Automatic,2006,No,Yes,Electric car with zero emissions
C0091,Ford,Turbo 600,Sedan,2000,172.4,180.0,177,15.3,6,43.65,Japan,Diesel,CVT,2009,Yes,Yes,Comfortable family sedan
C0092,Audi,Alpha 700,MUV,1500,122.3,136.9,186,12.1,4,51.55,Germany,Diesel,Automatic,2012,Yes,Yes,Multi-purpose vehicle for family
C0093,Mahindra,Neo 100,SUV,3000,332.6,226.8,203,14.1,4,48.33,India,Diesel,Manual,2010,Yes,Yes,Spacious SUV for all terrains
C0094,Nissan,Alpha 700,Sedan,1800,156.6,205.1,190,13.6,4,53.38,USA,Diesel,Automatic,2016,No,No,Comfortable family sedan
C0095,Ford,GT 300,SUV,1800,169.0,208.1,177,17.0,2,52.14,Japan,Petrol,CVT,2021,Yes,Yes,Spacious SUV for all terrains
C0096,Volvo,Z 400,Electric,0,220.0,483.9,148,,6,152.0,USA,Electric,Manual,2006,No,No,Electric car with zero emissions
C0097,Tata,X 150,Sedan,1200,95.2,109.5,190,16.5,4,14.15,India,Petrol,Automatic,2020,No,Yes,Comfortable family sedan
C0098,Maruti,S 100,Sedan,0,255.6,418.2,187,,5,21.0,India,Electric,Manual,2012,No,Yes,Comfortable family sedan
C0099,Toyota (India),Turbo 100,SUV,2200,209.4,370.6,223,12.2,4,29.52,India,Diesel,CVT,2009,No,Yes,Spacious SUV for all terrains
C0100,Toyota,Alpha 650,Sedan,1200,85.7,100.8,173,20.4,2,51.17,Sweden,Petrol,Automatic,2025,No,No,Comfortable family sedan
C0101,Maruti,Neo 650,Sedan,1500,126.6,145.1,189,16.7,7,22.6,India,Petrol,Automatic,2015,Yes,Yes,Comfortable family sedan
C0102,Volkswagen,Turbo 500,Coupe,0,100.2,432.9,178,,4,43.81,USA,Electric,Manual,2006,No,No,Sporty coupe with style
C0103,Volkswagen,GT 808,Sedan,1500,104.3,154.5,143,18.9,6,39.28,USA,Diesel,Automatic,2019,No,Yes,Comfortable family sedan
C0104,Volkswagen,Turbo 200,Sedan,1600,130.1,149.1,145,15.4,5,31.54,USA,Diesel,Manual,2014,No,No,Comfortable family sedan
C0105,Volvo,Neo 100,Sedan,1600,120.7,137.4,180,19.8,7,22.21,USA,Petrol,Automatic,2010,Yes,Yes,Comfortable family sedan
C0106,Kia,GT 500,Hatchback,1300,108.1,158.0,142,16.8,5,17.28,India,Diesel,Automatic,2019,Yes,Yes,Compact city-friendly hatchback
C0107,Toyota,Neo 250,Sedan,1500,138.0,121.0,151,16.0,6,51.99,Sweden,Diesel,Automatic,2011,No,No,Comfortable family sedan
C0108,Mahindra,Alpha 200,Hatchback,1200,97.0,103.4,145,23.1,2,15.81,India,Petrol,CVT,2022,No,Yes,Compact city-friendly hatchback
C0109,MG,S 150,MUV,1500,139.3,151.7,170,18.3,5,23.33,India,Diesel,CVT,2019,Yes,Yes,Multi-purpose vehicle for family
C0110,Mercedes,GT 700,Sedan,1800,151.5,206.1,192,14.6,6,42.39,Germany,Diesel,Automatic,2021,No,Yes,Comfortable family sedan
C0111,Kia,S 300,SUV,1500,131.6,140.7,198,13.3,5,67.22,India,Hybrid,Manual,2021,No,Yes,Spacious SUV for all terrains
C0112,Honda (India),X 100,Coupe,1600,121.3,144.6,211,16.0,4,56.78,India,Diesel,CVT,2010,No,Yes,Sporty coupe with style
C0113,Tata,Neo 250,Hatchback,1500,103.2,128.4,176,15.3,7,13.36,India,Diesel,CVT,2014,No,Yes,Compact city-friendly hatchback
C0114,Ford,S 350,Sedan,1200,74.7,102.5,169,17.0,5,27.75,Japan,Petrol,CVT,2017,Yes,No,Comfortable family sedan
C0115,Toyota (India),Z 700,SUV,1800,128.5,163.0,209,16.9,5,72.18,India,Petrol,Manual,2023,No,Yes,Spacious SUV for all terrains
C0116,MG,X 100,SUV,2200,331.9,309.5,171,14.6,4,88.45,India,Diesel,Manual,2023,No,Yes,Spacious SUV for all terrains
C0117,Mercedes,E 100,SUV,0,289.4,341.2,188,,4,29.72,Germany,Electric,Automatic,2013,No,No,Spacious SUV for all terrains
C0118,Ford,Turbo 350,Hatchback,1300,117.7,122.9,172,15.6,7,26.31,Japan,Diesel,CVT,2008,Yes,No,Compact city-friendly hatchback
C0119,Audi,GT 727,SUV,1800,131.9,190.5,224,10.3,7,29.07,Germany,Petrol,Automatic,2019,Yes,No,Spacious SUV for all terrains
C0120,Audi,Alpha 842,Hatchback,1300,119.7,140.3,172,16.3,5,26.42,Germany,Hybrid,Manual,2015,Yes,No,Compact city-friendly hatchback
C0121,Maruti,GT 600,SUV,3000,317.4,359.7,233,9.6,7,38.0,India,Petrol,Manual,2025,No,Yes,Spacious SUV for all terrains
C0122,Toyota (India),GT 500,Hatchback,1000,75.7,103.2,166,16.5,7,13.63,India,Hybrid,CVT,2020,Yes,Yes,Compact city-friendly hatchback
C0123,Honda (India),Z 250,SUV,2200,278.8,276.5,182,11.2,5,90.42,India,Hybrid,Automatic,2024,No,Yes,Spacious SUV for all terrains
C0124,BMW,Turbo 400,SUV,2000,166.3,202.3,248,15.6,5,105.1,Sweden,Petrol,CVT,2014,Yes,No,Spacious SUV for all terrains
C0125,Toyota,Alpha 812,Electric,0,172.9,286.3,130,,5,124.47,Sweden,Electric,CVT,2020,Yes,Yes,Electric car with zero emissions
C0126,BMW,GT 400,Hatchback,1500,102.0,122.0,197,16.2,6,18.46,Sweden,Diesel,Automatic,2008,Yes,Yes,Compact city-friendly hatchback
C0127,Volkswagen,X 400,SUV,2000,139.3,198.8,171,15.2,4,91.39,USA,Petrol,Manual,2018,Yes,No,Spacious SUV for all terrains
C0128,Volkswagen,Neo 297,Hatchback,1300,133.8,120.4,176,16.8,7,23.38,USA,Diesel,CVT,2020,Yes,No,Compact city-friendly hatchback
C0129,Mahindra,S 400,Sedan,1600,125.9,120.6,161,18.3,6,19.45,India,Diesel,CVT,2018,No,Yes,Comfortable family sedan
C0130,Mahindra,Alpha 600,Hatchback,1300,136.8,120.3,164,13.9,7,19.52,India,Petrol,Automatic,2023,Yes,Yes,Compact city-friendly hatchback
C0131,Toyota,Z 250,Convertible,1400,113.3,126.4,287,16.0,2,348.8,Sweden,Petrol,CVT,2025,No,Yes,Convertible for open-air drive
C0132,Kia,E 150,SUV,2500,256.0,346.3,220,13.3,7,59.24,India,Petrol,CVT,2007,No,Yes,Spacious SUV for all terrains
C0133,Mahindra,S 500,Hatchback,1500,100.1,141.5,150,14.6,4,17.3,India,Diesel,CVT,2023,No,Yes,Compact city-friendly hatchback
C0134,Volvo,E 650,MUV,3000,268.5,230.4,199,12.7,4,87.33,USA,Petrol,Manual,2023,Yes,Yes,Multi-purpose vehicle for family
C0135,Tata,Neo 400,SUV,1500,139.3,138.9,196,15.3,6,41.19,India,Petrol,CVT,2016,No,Yes,Spacious SUV for all terrains
C0136,Ford,Turbo 500,Hatchback,1500,96.6,154.4,147,13.4,2,19.38,Japan,Hybrid,Manual,2005,No,No,Compact city-friendly hatchback
C0137,Ford,X 450,MUV,2500,223.3,253.9,154,8.2,4,116.48,Japan,Petrol,Manual,2011,Yes,Yes,Multi-purpose vehicle for family
C0138,Hyundai,E 250,Sedan,1800,134.1,173.0,195,16.2,4,22.86,India,Petrol,Automatic,2023,No,Yes,Comfortable family sedan
C0139,Mercedes,E 650,Electric,2693,245.1,231.0,271,14.2,2,73.88,Germany,Diesel,Automatic,2016,No,No,Electric car with zero emissions
C0140,Nissan,Alpha 250,SUV,1800,165.3,188.4,188,12.4,6,83.61,USA,Petrol,CVT,2018,Yes,Yes,Spacious SUV for all terrains
C0141,Audi,E 300,Coupe,2000,125.5,203.5,224,10.4,4,162.8,Germany,Hybrid,Manual,2023,Yes,No,Sporty coupe with style
C0142,Maruti,Turbo 450,Sedan,1200,92.4,112.6,198,17.4,7,20.21,India,Petrol,Manual,2015,No,Yes,Comfortable family sedan
C0143,Jaguar,Z 650,Coupe,2000,150.8,189.8,212,16.4,5,223.04,Germany,Petrol,Manual,2015,No,Yes,Sporty coupe with style
C0144,Kia,Alpha 700,Hatchback,1500,119.0,136.7,149,13.6,6,13.56,India,Diesel,Manual,2022,No,Yes,Compact city-friendly hatchback
C0145,Volkswagen,S 600,Electric,0,237.0,250.5,165,,6,37.58,USA,Electric,CVT,2010,Yes,No,Electric car with zero emissions
C0146,Hyundai,X 100,MUV,2000,124.1,169.1,167,14.0,7,42.97,India,Petrol,CVT,2020,No,Yes,Multi-purpose vehicle for family
C0147,Jaguar,Alpha 350,SUV,2500,308.3,316.4,196,8.1,2,172.51,Germany,Petrol,Manual,2021,Yes,Yes,Spacious SUV for all terrains
C0148,BMW,Neo 100,MUV,3000,268.8,263.8,168,10.1,2,174.92,Sweden,Petrol,CVT,2007,No,Yes,Multi-purpose vehicle for family
C0149,Maruti,X 150,MUV,3000,296.7,279.6,152,14.3,7,28.51,India,Petrol,CVT,2020,No,Yes,Multi-purpose vehicle for family
C0150,BMW,Z 498,Electric,0,90.5,478.6,160,,4,24.46,Sweden,Electric,CVT,2017,Yes,Yes,Electric car with zero emissions
C0151,Jaguar,E 100,Sedan,1500,129.5,147.6,145,16.0,5,30.57,Germany,Diesel,Manual,2024,No,No,Comfortable family sedan
C0152,BMW,GT 828,MUV,2000,141.3,216.5,195,11.5,5,110.67,Sweden,Petrol,CVT,2012,Yes,Yes,Multi-purpose vehicle for family
C0153,Kia,Turbo 150,MUV,1500,94.6,157.7,196,14.9,4,36.23,India,Petrol,Manual,2018,No,Yes,Multi-purpose vehicle for family
C0154,Maruti,Turbo 200,Hatchback,1500,119.9,133.0,164,12.1,7,15.65,India,Diesel,Manual,2012,Yes,Yes,Compact city-friendly hatchback
C0155,Kia,Neo 150,Sedan,1500,93.2,137.4,166,14.4,6,17.33,India,Petrol,Manual,2024,Yes,Yes,Comfortable family sedan
C0156,Kia,E 550,Sedan,1600,132.1,135.2,195,14.6,7,26.71,India,Hybrid,CVT,2009,No,Yes,Comfortable family sedan
C0157,Honda (India),Z 550,SUV,2200,345.3,272.5,248,12.4,6,53.14,India,Petrol,Automatic,2016,Yes,Yes,Spacious SUV for all terrains
C0158,Jaguar,GT 650,Hatchback,1000,98.6,103.8,185,17.1,6,18.4,Germany,Diesel,Automatic,2009,No,Yes,Compact city-friendly hatchback
C0159,Nissan,Z 600,MUV,3000,287.3,316.2,193,11.8,7,182.47,USA,Petrol,CVT,2025,Yes,Yes,Multi-purpose vehicle for family
C0160,Toyota,Z 450,Hatchback,1500,139.2,147.1,165,19.7,2,25.33,Sweden,Diesel,Manual,2013,Yes,No,Compact city-friendly hatchback
C0161,Toyota,Z 500,Sedan,2000,161.4,169.0,141,13.9,4,47.99,Sweden,Diesel,Manual,2016,No,Yes,Comfortable family sedan
C0162,Volkswagen,E 500,Sedan,1800,139.1,178.0,191,15.7,4,31.24,USA,Petrol,CVT,2012,Yes,No,Comfortable family sedan
C0163,Nissan,Z 250,Electric,0,209.6,255.3,175,,4,66.17,USA,Electric,CVT,2019,No,Yes,Electric car with zero emissions
C0164,BMW,Neo 500,MUV,0,100.0,230.5,188,,6,41.91,Sweden,Electric,Manual,2008,No,No,Multi-purpose vehicle for family
C0165,Audi,S 200,SUV,2500,217.1,283.4,218,12.3,4,136.11,Germany,Diesel,CVT,2015,Yes,Yes,Spacious SUV for all terrains
